persona_id	version	group	Q1	Q2	Q3	Q4_1	Q4_2	Q4_3	Q4_4	Q4_5	Q4_6	Q4_7	Q6	q6_correct	Q7	Q8	Q9	Q10	Q11_code	Q11_name	Q12	Q13	Q14	Q15	status	retry_count	input_tokens	output_tokens	retry_t1	retry_t2	input_tokens_t1	output_tokens_t1	input_tokens_t2	output_tokens_t2
V1-A-001	V1	A	1	8	2	5	15	35	25	15	3	2			9	9	1	60	11	埼玉県	1	7	6	3	ok	0	3832	97	0	0	1617	86	2215	11
V1-A-002	V1	A	1	8	2	5	15	30	25	15	5	5			9	11	1	37	12	千葉県	1	8	2	2	ok	0	3824	97	0	0	1613	86	2211	11
V1-A-003	V1	A	1	8	2	10	15	30	25	15	3	2			9	9	2	25	12	千葉県	1	6	2	1	ok	0	3824	97	0	0	1613	86	2211	11
V1-A-004	V1	A	2	10	2	5	10	25	30	20	5	5			9	11	1	45	23	愛知県	2	1	2	4	ok	0	3802	97	0	0	1602	86	2200	11
V1-A-005	V1	A	2	10	2	5	10	25	30	20	7	3			10	11	1	29	28	兵庫県	1	3	6	4	ok	0	3854	97	0	0	1628	86	2226	11
V1-A-006	V1	A	1	8	2	10	15	30	25	15	3	2			9	11	1	48	14	神奈川県	2	6	3	1	ok	0	3810	97	0	0	1606	86	2204	11
V1-A-007	V1	A	1	8	2	10	15	30	25	15	3	2			8	11	1	57	13	東京都	2	6	1	1	ok	0	3806	95	0	0	1605	84	2201	11
V1-A-008	V1	A	1	8	2	10	15	30	25	15	3	2			8	9	2	32	1	北海道	2	7	2	2	ok	0	3812	97	0	0	1607	86	2205	11
V1-A-009	V1	A	1	8	2	5	10	30	30	15	5	5			9	9	1	70	13	東京都	2	8	6	2	ok	0	3798	97	0	0	1600	86	2198	11
V1-A-010	V1	A	1	8	2	5	15	35	25	15	3	2			9	11	1	44	34	広島県	2	1	6	1	ok	0	3788	97	0	0	1595	86	2193	11
V1-A-011	V1	A	2	10	2	5	10	25	30	20	5	5			9	9	2	22	13	東京都	1	1	6	3	ok	0	3816	97	0	0	1609	86	2207	11
V1-A-012	V1	A	1	8	2	5	10	30	30	15	5	5			9	9	2	68	28	兵庫県	1	1	5	1	ok	0	3816	97	0	0	1609	86	2207	11
V1-A-013	V1	A	1	8	2	5	10	30	30	15	5	5			9	9	2	74	27	大阪府	2	1	5	5	ok	0	3802	97	0	0	1602	86	2200	11
V1-A-014	V1	A	1	8	2	10	15	30	20	15	5	5			8	9	2	87	37	香川県	2	7	1	2	ok	0	3818	97	0	0	1610	86	2208	11
V1-A-015	V1	A	1	8	2	5	15	30	25	15	5	5			8	9	2	46	4	宮城県	1	8	2	1	ok	0	3816	97	0	0	1609	86	2207	11
V1-A-016	V1	A	2	10	2	5	10	25	30	20	5	5			10	9	1	40	12	千葉県	1	2	2	7	ok	0	3818	97	0	0	1610	86	2208	11
V1-A-017	V1	A	2	10	2	5	10	25	30	20	5	5			9	9	2	27	23	愛知県	2	8	6	2	ok	0	3800	97	0	0	1601	86	2199	11
V1-A-018	V1	A	1	8	2	10	15	30	25	15	3	2			9	11	2	52	22	静岡県	2	7	5	2	ok	0	3814	97	0	0	1608	86	2206	11
V1-A-019	V1	A	1	8	2	5	10	30	30	15	5	5			9	9	1	58	16	富山県	1	7	2	3	ok	0	3832	97	0	0	1617	86	2215	11
V1-A-020	V1	A	1	8	2	10	15	30	25	15	3	2			9	11	1	81	14	神奈川県	2	1	1	1	ok	0	3802	97	0	0	1602	86	2200	11
V1-A-021	V1	A	1	8	2	10	15	30	25	10	5	5			9	9	2	29	13	東京都	1	7	6	2	ok	0	3828	97	0	0	1615	86	2213	11
V1-A-022	V1	A	1	8	2	5	10	30	30	15	5	5			9	9	1	67	13	東京都	2	6	6	1	ok	0	3798	97	0	0	1600	86	2198	11
V1-A-023	V1	A	1	8	2	5	10	30	30	15	5	5			9	9	2	44	26	京都府	2	4	6	4	ok	0	3790	97	0	0	1596	86	2194	11
V1-A-024	V1	A	2	10	2	5	10	25	30	20	5	5			9	9	1	43	1	北海道	1	3	1	5	ok	0	3860	97	0	0	1631	86	2229	11
V1-A-025	V1	A	1	8	2	5	15	30	25	15	5	5			9	11	2	65	13	東京都	1	6	5	5	ok	0	3830	97	0	0	1616	86	2214	11
V1-A-026	V1	A	1	8	2	10	15	30	20	15	5	5			8	11	1	92	40	福岡県	2	1	1	2	ok	0	3808	97	0	0	1605	86	2203	11
V1-A-027	V1	A	1	8	2	5	15	30	25	15	5	5			9	9	1	62	11	埼玉県	1	7	6	1	ok	0	3824	97	0	0	1613	86	2211	11
V1-A-028	V1	A	2	10	2	5	10	25	30	20	5	5			10	9	1	41	23	愛知県	1	2	6	6	ok	0	3812	97	0	0	1607	86	2205	11
V1-A-029	V1	A	1	8	2	10	15	30	25	15	3	2			8	9	2	70	11	埼玉県	2	1	2	1	ok	0	3796	97	0	0	1599	86	2197	11
V1-A-030	V1	A	1	8	2	10	15	30	25	15	3	2			9	9	2	37	28	兵庫県	2	1	2	2	ok	0	3804	97	0	0	1603	86	2201	11
V1-A-031	V1	A	1	8	2	5	15	30	25	15	5	5			9	9	2	70	23	愛知県	1	1	2	2	ok	0	3822	97	0	0	1612	86	2210	11
V1-A-032	V1	A	2	10	2	5	10	25	30	20	7	3			10	9	1	35	14	神奈川県	1	1	6	4	ok	0	3820	97	0	0	1611	86	2209	11
V1-A-033	V1	A	1	8	2	5	15	30	25	15	5	5			9	9	2	60	40	福岡県	1	6	2	6	ok	0	3832	97	0	0	1617	86	2215	11
V1-A-034	V1	A	1	8	2	10	15	30	25	15	3	2			9	9	2	53	11	埼玉県	2	7	2	5	ok	0	3814	95	0	0	1609	84	2205	11
V1-A-035	V1	A	1	8	2	5	10	25	30	20	5	5			9	9	1	95	23	愛知県	1	1	6	1	ok	0	3810	97	0	0	1606	86	2204	11
V1-A-036	V1	A	1	8	2	5	10	30	30	15	5	5			9	9	2	42	17	石川県	2	7	7	2	ok	0	3810	97	0	0	1606	86	2204	11
V1-A-037	V1	A	2	10	2	5	10	25	30	20	5	5			10	9	1	49	21	岐阜県	1	7	2	7	ok	0	3838	97	0	0	1620	86	2218	11
V1-A-038	V1	A	1	8	2	10	15	30	25	15	3	2			9	9	1	85	13	東京都	2	6	1	4	ok	0	3816	97	0	0	1609	86	2207	11
V1-A-039	V1	A	2	10	2	5	10	25	30	20	5	5			9	9	1	36	11	埼玉県	2	8	2	6	ok	0	3806	97	0	0	1604	86	2202	11
V1-A-040	V1	A	1	8	2	10	15	30	25	15	3	2			8	11	1	72	27	大阪府	2	6	1	1	ok	0	3808	95	0	0	1606	84	2202	11
V1-A-041	V1	A	1	8	2	10	15	30	20	15	5	5			8	9	2	22	35	山口県	1	7	2	2	ok	0	3832	97	0	0	1617	86	2215	11
V1-A-042	V1	A	1	8	2	5	15	35	25	15	3	2			9	9	1	67	13	東京都	1	8	6	4	ok	0	3818	97	0	0	1610	86	2208	11
V1-A-043	V1	A	1	8	2	10	15	30	25	15	3	2			8	9	2	77	2	青森県	2	2	2	3	ok	0	3794	97	0	0	1598	86	2196	11
V1-A-044	V1	A	1	8	2	10	15	30	25	15	3	2			8	9	2	77	1	北海道	2	1	5	1	ok	0	3792	97	0	0	1597	86	2195	11
V1-A-045	V1	A	1	8	2	10	15	30	25	15	3	2			9	11	1	30	46	鹿児島県	1	7	6	2	ok	0	3834	97	0	0	1618	86	2216	11
V1-A-046	V1	A	1	8	2	10	15	30	20	15	5	5			8	9	2	74	27	大阪府	1	7	2	3	ok	0	3834	97	0	0	1618	86	2216	11
V1-A-047	V1	A	2	10	2	5	10	25	30	20	5	5			10	9	1	42	13	東京都	2	8	6	4	ok	0	3798	97	0	0	1600	86	2198	11
V1-A-048	V1	A	1	8	2	10	15	30	25	15	3	2			9	9	2	50	33	岡山県	2	1	2	5	ok	0	3802	97	0	0	1602	86	2200	11
V1-A-049	V1	A	1	8	2	5	10	30	30	15	5	5			9	9	1	68	13	東京都	2	8	6	1	ok	0	3790	97	0	0	1596	86	2194	11
V1-A-050	V1	A	1	8	2	10	15	30	25	15	3	2			9	9	2	39	11	埼玉県	2	7	4	1	ok	0	3808	97	0	0	1605	86	2203	11
V1-A-051	V1	A	2	10	2	5	10	25	30	20	5	5			10	9	1	28	15	新潟県	1	8	6	3	ok	0	3820	97	0	0	1611	86	2209	11
V1-A-052	V1	A	2	10	2	5	10	25	30	20	5	5			10	9	1	33	7	福島県	1	7	6	5	ok	0	3828	97	0	0	1615	86	2213	11
V1-A-053	V1	A	2	10	2	5	10	25	30	20	5	5			10	9	2	55	42	長崎県	1	1	4	7	ok	0	3824	97	0	0	1613	86	2211	11
V1-A-054	V1	A	1	8	2	5	10	30	30	15	5	5			9	9	1	71	23	愛知県	2	6	1	3	ok	0	3818	97	0	0	1610	86	2208	11
V1-A-055	V1	A	1	8	2	5	10	30	30	15	5	5			9	9	2	58	13	東京都	1	6	5	8	ok	0	3824	97	0	0	1613	86	2211	11
V1-A-056	V1	A	1	8	2	10	15	30	20	15	5	5			8	11	2	70	5	秋田県	2	1	1	4	ok	0	3808	97	0	0	1605	86	2203	11
V1-A-057	V1	A	2	10	2	5	10	25	30	20	5	5			10	9	1	32	14	神奈川県	2	3	4	2	ok	0	3838	97	0	0	1620	86	2218	11
V1-A-058	V1	A	1	8	2	10	15	30	25	10	5	5			8	9	2	74	11	埼玉県	2	7	4	1	ok	0	3806	95	0	0	1605	84	2201	11
V1-A-059	V1	A	1	8	2	10	15	30	25	10	5	5			9	9	2	20	13	東京都	1	1	2	4	ok	0	3820	97	0	0	1611	86	2209	11
